room_type,price,minimum_nights,neighborhood_id,host_id,listing_name,listing_id
Entire home/apt,133,1,136,39063067,"""B House"" Modern West Seattle Townhome 2br/2bth",53832023
Entire home/apt,122,1,100,210794424,"""Captains Quarters""",27929606
Entire home/apt,76,2,118,25968742,"""Hellebore House"" -- in the heart of Phinney Ridge",13192961
Entire home/apt,187,2,133,150488044,"""NEW LISTING!  PNW Modern Mid Century Gem"" 🌺",50726805
Private room,60,2,110,25501472,"""Suite 12"" (a private room with separate entrance)",27932998
Private room,75,30,114,2438665,"""The 5-Star House"" - # 6->The Hawaiian room",566435
Private room,90,30,114,2438665,"""The 5-Star House"" - #10-> The Peruvian room",13436253
Private room,60,30,114,2438665,"""The 5-Star House""  #9 The red room",210316
Entire home/apt,203,2,115,11377707,"""The Fremont Lookout"" w/ Deck & Gourmet Kitchen!",47843109
Entire home/apt,145,3,115,11377707,"""The Fremont Overlook"" w/ Nifty Backyard & Firepit",52032005
Entire home/apt,88,1,105,254175334,"""The Trees House"" 1 Bedroom Private Apartment",42424064
Entire home/apt,782,3,132,16255476,"""The"" Seattle View & 5-Star Luxury",26756649
Entire home/apt,140,2,106,86157147,"""Urban Sage"" Centrally Located Seattle Getaway",544219347103053000
Entire home/apt,89,1,105,254175334,"""White Center Holler"" 1 Bedroom Private Apartment",33718704
Entire home/apt,309,2,136,78134139,#1 Alki Beach-Work Remote/FAST WiFi/Steps to Beach,17962405
Private room,43,1,129,158764973,#B Bedroom with backyard access,51050888
Entire home/apt,88,1,105,40306585,#Boeingbunker: 15 min to airport + Free Parking 🚗,35942460
Private room,40,1,129,158764973,#C bedroom in Wallingford,48531825
Private room,13,365,101,19346435,$310 - $350 nice rooms for rent,3773845
Entire home/apt,82,1,135,3074414,(8) Steps to UW bright corner 2nd floor,50600280
Private room,38,1,133,257580933,(Near Airport & Seattle) Queen Bed & Smart TV,53834342
Entire home/apt,147,2,129,23549241,(NEW) Wallingford Cottage with Stunning Views!,15028921
Entire home/apt,357,1,135,255614477,* 5 Bedroom 3 Bath in the heart of UW,51519149
Entire home/apt,257,2,106,72623544,***Waterfront Condo! A Rare Find! Free Parking!***,22267394
Entire home/apt,101,2,136,4181260,**Beautiful apartment with views of the city!!!**,7886656
Entire home/apt,122,1,102,19604182,**Private Apt - 1 Bdrm with King Bed. Min to DT!**,42902065
Entire home/apt,119,2,136,238741480,*Belvidere Haus* Modern Tiny House in West Seattle,54042908
Private room,65,2,108,13869873,"*CLEAN* Relaxing, Comfy Suite w/ Private Entrance",7434103
Entire home/apt,121,6,100,57960995,"*Clean, Sanitized, Well- Appointed Studio, office.",17095283
Entire home/apt,321,3,115,182268086,"*Hot Tub* entire house, unique stay in Fremont!",49606606
Entire home/apt,199,2,115,182268086,*Hot Tub* Oasis in the heart of Seattle,49669221
Entire home/apt,208,2,127,398339477,*Near Georgetown/Airport/Downtown/AlkiBeach & Mall,546581489221086000
Entire home/apt,151,1,106,5887,*NEW LISTING* Artist Condo in Downtown/Cap Hill!,53941212
Entire home/apt,171,2,127,33776918,*NEW* 2BR Townhouse Mins to DT Seattle &Airport,19589907
